geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,73.2,73.8,73.5,72.8,72.3,71.3,70.1,70.1,69.9,70.1,70.6,:
Belgium,76.5,76.2,76.9,75.7,73,72,70,70.1,70.7,71.9,72.3,:
Bulgaria,62.4,61.8,60.8,65.5,61.4,62.6,58.9,59.9,62.4,64.9,66.3,:
Croatia,64.3,60.3,61,60.5,61.1,59.9,58.2,61.9,63.4,65.9,65.5,:
Cyprus,70.4,71.9,69.4,67,66.3,68.1,60.7,57.9,52.1,44.2,48.6,:
Czech Republic,86.2,85.8,85.4,85.2,84.3,83.4,81.3,81.1,82.2,83.3,83.7,:
Denmark,71.2,70.2,70,67.7,65.7,65.4,63.8,63.7,63.7,61.3,61.7,:
Estonia,65.6,70.3,70.1,69.5,68.6,66.3,66,71,72.3,75.1,73.9,:
Finland,57.3,56.9,56,55.7,54.4,55.8,53.7,55.3,57.3,58.9,58.9,:
France,65.6,65.6,64,62.6,61,61,58.9,59.4,60.1,58.8,59.5,:
Germany,63.9,65,63.6,62.6,60.3,59.5,56.8,56.9,57.7,57.9,58.5,:
Greece,66.6,64,60.8,58.2,54.6,51.8,44.4,47.1,48.3,54.2,56.3,:
Hungary,80.7,80.4,79.8,80.2,78.4,77.4,77.4,77.8,80,81.3,81.4,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,63.4,63.5,62.9,61.2,57.7,58.1,59.2,57.2,55,53,50.2,:
Italy,62,61.7,59.7,58.4,57.9,56.6,54.3,53.8,54.9,54.8,55.9,:
Latvia,72.5,72.5,68.6,67.7,67.3,66,63.6,66.4,68.5,69.2,69.7,:
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,63.7,64.8,60.4,64.4,61,61.4,60.4,55.5,54.8,61.3,60.7,:
Luxembourg,89.3,87.8,88.5,87.3,83.1,80.2,79,81,82.5,84,82.7,:
Macedonia,:,:,:,:,:,:,:,:,:,:,:,:
Malta,51.9,44.3,40.4,40.1,41.2,41.1,39.1,44.9,50.1,45.8,41.6,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:
Netherlands,79.2,78.2,79.1,77.5,77.3,77.1,75.7,75.7,75.9,75.8,76,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:
Poland,79.3,79.2,78.1,79.9,79.3,78.2,76.2,75,77.4,79.3,79.6,:
Portugal,78.2,77.1,74.5,75.4,75.4,74.5,71.1,70.3,70.8,72.7,75.1,:
Romania,70.7,72.4,70.8,74.5,72.5,71.3,70.4,69.6,71.1,73.7,75.1,:
Serbia,:,:,:,:,:,:,:,:,:,:,:,:
Slovakia,87.3,87.2,85.8,86.3,84.7,85.1,84.1,82.9,84.4,85.5,85.5,:
Slovenia,77.1,77.3,76.4,77,77.6,77.3,75,74.8,75.3,76,75.3,:
Spain,71.3,70.9,69.7,69.9,68.8,66.7,63.7,62.9,63.8,65.1,66.8,:
Sweden,60.3,61.3,60.2,58.5,57.2,56.1,57,57.7,58.5,58.5,59.2,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:
Turkey,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,62.7,57.9,55.6,55.1,52.8,50.2,50.3,43.5,47.9,44.4,47.4,:
