geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,34273.3,37434.2,38230.5,31464.1,36593.2,41999.4,40605,40043.9,40968.9,42816.9,43733.7,:
Belgium,71565.9,79967.1,78331.9,61722.9,71493.2,82189.7,79063.9,77762.9,81474.6,81925.3,82740.9,:
Bulgaria,5009.9,6057.1,6557.5,4213.1,4632.7,5417.6,5484,5814.3,6372.7,6437.7,6879.2,:
Croatia,5314.6,5953.1,6090.3,4639.5,4461.1,4820.2,4516.4,4684.5,5303.3,5898.8,6372.7,:
Cyprus,1700.5,1939.4,2155.7,1664.6,1844.5,1596,1357,1099.6,1183.2,1276.7,1256.7,:
Czech Republic,22929.7,26651.9,29102.6,22112.3,26710.1,30288.6,30115,30375,32570.5,35704.8,37777.3,:
Denmark,21742.4,23506.1,23541.5,18003.3,19603.5,21125.6,21026.1,20413.1,21612.2,22760.4,23237.3,:
Estonia,2770.1,3236.2,3082.3,1994.4,2506.1,2987.9,3226.6,3344.7,3451,3404.7,3615.8,:
Finland,11588.4,13048.2,13101,10128.5,11653.9,12925.8,12097.2,11653.7,11732.1,12143.4,12357.2,:
France,117354.6,128099.1,129298.4,108227.2,124426.2,136448.7,134209.9,133747.2,137459.1,145141.7,146011.3,:
Germany,185186.1,207303.3,209576.2,167329.9,201315.7,232641.2,226069.1,224214.4,236468.6,253937.2,257472.6,:
Greece,13831.4,16032.3,16352.1,12313,11696.8,10298.2,8749.9,8834.7,9471.4,9508.3,10353.7,:
Hungary,13418,15434.9,15433.2,11512.9,13461.5,15647.4,15718.4,16473.5,17501.2,18754.8,19936.5,:
Iceland,1295,1345,1045,589,689,772,774,786,849,980,1142,1373
Ireland,12883.4,13688.7,12282.5,9529.5,9584.7,9633,9739.7,9895.3,10948.8,12583.4,12726.2,:
Italy,96805.3,105733.4,101542.1,74665.7,93703.7,103291.9,92916.4,91757.2,97271.1,103897.2,103104.7,:
Latvia,2727.4,3273.9,3093.2,1887.1,2409.2,3325.7,3486.3,3540.8,3604.3,3467.7,3492.4,:
Liechtenstein,:,:,823,657,728,878,826,812,887,968,988,964
Lithuania,3493.1,4314.1,4185.8,2656.6,3229.3,4008.9,4313.6,4799.1,5481.5,5524.7,5711.7,:
Luxembourg,4760,4806.4,4869.5,4215.5,4680.8,5252.7,5245.6,5053.2,5262.6,5501.8,5521,:
Macedonia,1094,1361,1262,1150,1352,1722,1729,1857,2238,2452,2718,3015
Malta,765.6,758.4,767.9,642,710.2,688.2,711.7,691,738.7,814.8,753.7,:
Montenegro,399,585,782,490,473,490,486,491,511,535,622,706
Netherlands,79381.1,86348.3,87999.2,69917.6,84036.8,91951.6,87874.5,86874.9,92964,102384.4,104834.6,:
Norway,16458,18316,18541,15801,17210,19088,20406,19946,20485,20693,:,:
Poland,29106.2,36000,39581.3,30096.6,37723.4,42366.3,40933.7,41354.1,47186.2,51828.4,54321.6,:
Portugal,15655.3,16675.6,16827,13993.4,15469.9,15339.5,13749.7,14258.2,15276.1,16302.7,16654.5,:
Romania,13099.8,16295.7,17577.7,12081,14297,16512.1,15736.7,16133.5,17700.4,19252.1,20455.5,:
Serbia,3035,4137,4431,3234,3651,3884,3810,3828,3996,4279,4671,5363
Slovakia,10867.6,12432,13595.1,10602.8,12653,15190.1,16519.4,16437,17287,18509,19102.7,:
Slovenia,6209,7254.9,7409.7,5569.2,6577.7,7316,6863.8,6829.4,7111.8,7640.4,8079.7,:
Spain,62104,69318.1,66769.2,50915.7,58244.6,61648.2,56797.5,56170,62245.3,69045.9,72574.3,:
Sweden,27578.9,31655.3,30499.1,22776.8,28757.5,32256.4,31253.3,29762.6,29658.4,32218.3,33086.1,:
Switzerland,39809,41553,44561,40593,47908,53573,55520,55019,55702,61000,60712,63633
Turkey,26242,30575,32126,23119,32453,37721,38233,40532,40550,43632,40970,43616
United Kingdom,121143.2,126855.4,114926.9,96850.5,113672.6,122177.5,128421.8,124796.3,127561,142011.3,137534,:
