geo\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,-321,-342.9,-245.1,-388.4,-72.6,-472.9,-634.7,-432.4,-345.8,-408.3,-119.2,139.2
Belgium,-2048.2,-3116.8,-3682.5,-2572.4,-1423.5,-2480.3,-3261.2,-3500.7,-3303.6,-3120.7,-3456.7,-3358.5
Bulgaria,-364.8,-651.5,-805.1,-728.4,-514.8,-523.5,40.9,84.4,12.5,-160.9,-297.1,-215.7
Croatia,-67.5,-48.3,-30.4,-82.4,13.4,21.9,55.5,95.3,60.5,141.8,166.2,141.8
Cyprus,-14.5,-10.9,-19.3,-28,-7.3,7.4,13.6,6.1,7.9,4.9,-1.1,-0.4
Czech Republic,-465.4,-591.8,-555.9,-902,-344.8,-705.8,-1006.7,-620.1,-654.8,-576.4,-426.3,-395
Denmark,442.1,516.4,356.8,554.2,534.7,1038.5,1187.2,1434.6,1759.1,1059,1442.2,886.4
Estonia,-27.2,0.9,-34.3,120.2,34.9,87.9,90.8,107.3,131.1,121.8,88.7,101.5
Finland,-1046.6,-1406.6,-1889.6,-1421.3,-104.5,-258.7,-122.1,518.7,870.4,589.7,964.8,719.3
France,-2189.2,-2407.8,-2680.2,-3570.4,-1576.8,-2661.4,-2958.3,-2203.9,-2021.7,-1583.8,-1241,-1198.9
Germany,-4377.4,-6289.6,-6732.4,-6727.3,-4097.3,-6779.5,-9044.4,-8039.6,-7134.6,-7068.8,-6620.4,-6262.2
Greece,-205.3,-187.5,-549.2,-570.6,-82.2,73.6,-155.4,55,79.9,29.1,66.1,89.7
Hungary,-234.5,-259.3,-298.4,-259.2,-108.8,-260.4,-274.6,-167.5,-48,-68,-204.5,-180.6
Ireland,23.1,69.7,-75,-46.6,10.1,1.7,49.3,69.2,101.2,108.5,-10.3,-30.8
Italy,-5494.9,-6018,-6138.7,-6696.3,-3671.6,-5757.5,-7286.1,-5961.6,-5725.3,-5412.7,-5525.3,-4938.2
Latvia,-63.8,-60,-126.4,-37.3,80.3,133.1,231.9,128.4,218.9,217.5,218.8,204.2
Lithuania,-99,-146.8,-171,-363.8,-177,-178.8,-201.7,-221.7,-156.5,-100.8,-204.6,-123.1
Luxembourg,-46.7,-85,-27.2,-52.3,-17.6,-29.5,-32.3,-27.7,-48.9,-69.3,-65,-56.3
Malta,-6.3,-8.1,-3.3,-1.2,-6,-6.3,4.4,3,-1.3,0.7,0.3,0.2
Netherlands,-5464.6,-5082.4,-5968.6,-8355.2,-3726.3,-7389.2,-8869.7,-8249.4,-8158.4,-7248,-7021.5,-6660.7
Poland,-858.9,-1313.5,-1505.6,-1742.1,-830.8,-1307.4,-1767.2,-1653.3,-1326.7,-1310.6,-1411.7,-1265.1
Portugal,-351.9,-277.8,-441.5,-500.1,-181.6,-334.8,-237.4,-64.7,-67.5,-12.9,-73.6,-63.3
Romania,81.6,204.1,152.9,77.9,526.5,750.2,839.6,632.4,729.5,710.9,238.4,90.3
Slovakia,-380.6,-413.8,-410.7,-509.2,-236.1,-532.4,-588.5,-554.6,-554.2,-500,-354,-404
Slovenia,-112.7,-94.9,-73.6,-126.1,44,-185.7,-303.2,-114.1,-47.4,-16.2,69,94
Spain,-3200.3,-4254.2,-4583,-5212.3,-2947.5,-4341.7,-5420,-4466.8,-4557.1,-4660.4,-4366.4,-3647.9
Sweden,688.9,694.4,621.9,744.3,966.2,1379.9,1651.8,1840.9,1755.9,1818.1,1467.7,1727.4
United Kingdom,-2622.2,-3056.9,-3995.6,-3933.4,-1430.4,-2382.7,-2369.7,-1866.9,-2332.4,-2019,-1971.9,-1116.2
