partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,20884.9,24154.5,20584.8,28259.7,17411.1,21075.3,27849.6,32764.3,31920.3,29457.9,20907.7,16513.5
Australia,9938.3,13099,13461,13791,9928.1,12460.7,14957.8,14532.9,10171.8,9170.5,9574.9,13100.8
Brazil,24119.5,27301.5,32913.2,36029.1,26063.8,33793.8,39927.5,38010.6,33307.6,31235.2,31151.6,29624.4
Canada,17710.9,20616.3,24244.4,25105,19360.8,24769.6,30730.4,30292.4,27128.5,27431.4,28310.4,29156.8
China except Hong Kong,161007.7,195816.2,233862.9,249102.1,215274.1,283931,295055.3,292121.9,280118.8,302517.8,350846.8,344914.7
Hong Kong,11344.1,13991.8,11767.9,12276,13290,14306.3,10978.5,10542.2,10170.8,10818.8,14248.3,18200.7
India,19114.2,22636.7,26666.1,29632.4,25503.2,33463.8,39927,37527.7,36842.5,37177.2,39464.4,39323.8
Japan,74345.9,78430.3,79259.2,76474.5,58440.1,67302.2,70583.4,64998.6,56619.7,56556.2,59850.5,66622.8
Mexico,9252.8,10565.7,12197.6,14015.7,10156.2,13754.8,17007.7,19532.3,17514.6,17986.8,19490.6,19911.5
Nigeria,8382.7,10805.2,10199.5,15723.4,10416.5,14505.5,24403.1,33045.4,28678.4,28115.4,18529.7,10874.4
Norway,67198.9,81921.9,79294.9,95944.7,68918.3,79026,95324.8,99843.2,89558.6,85107.2,74156.1,63314.7
Russia,113981.2,143601.5,147734.1,180446.1,119569,162079,201328.8,215130.6,206972.1,182383.8,136388.1,118891.8
Saudi Arabia,22366.4,23446,18660.3,22012.5,11784.1,16299.1,28440.8,34640.5,30139.1,28694.9,21366.6,18951.4
Singapore,18458.5,19305.2,18478,16151.9,14594.2,18800.6,19230,21559,17608.8,16851.9,18956.7,19466.7
South Africa,17307,20134.5,22055.4,24617.6,19251.6,20421.7,21760,20513.6,15559.9,18513.6,19399.2,22932.9
South Korea,34588.7,40948.8,41676.2,39740.3,32471.7,39534.2,36312,38014.5,35837,38771.6,42365.6,41643.2
Switzerland,66696.8,71619.6,77047,82649.9,80908.8,85492.9,93497.7,105900,94532.2,96560.2,102361.6,121722.8
Turkey,36229.8,41927.3,47378.5,46288.3,36445.8,43062.2,48819.9,48822.4,50657.4,54415.1,61663.4,66765.2
United Arab Emirates,9841.6,5748.8,6066,5971.6,3764.1,5853.4,8994.6,8326,9247.1,8166.9,9301.9,9189.3
United States,159174.2,170658.3,177414.3,182780.3,155250.5,174893.3,194232.8,209304.3,199510,209353.7,249336.1,250448.8
