partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,-10386.4,-14177.2,-9314.3,-12858.4,-2589.8,-5480.1,-10537.9,-11639.5,-9534.3,-6082.9,1333.1,3869.9
Australia,10949,8663.9,10445.7,12908.7,12019.5,14511.5,16215.9,19399.6,21879.4,20388.5,21919.6,19309.6
Brazil,-8112.6,-9605.1,-11649.2,-9722.2,-4480.5,-2315.3,-4153.6,1673.8,6575.9,5691.2,3390.4,1252.6
Canada,5539.5,5389.4,1139.2,383.5,2584.1,2010.7,-839.5,1115,4463,4210.6,6829.9,6044.8
China except Hong Kong,-109258.8,-132120.5,-162039.6,-170801.5,-132853.1,-170477.2,-158640.6,-147894.8,-132003.6,-137895,-180490,-175250.8
Hong Kong,9053.8,7502,9163,9510.7,6380.8,12987.1,19788.3,23157.1,25535.4,23914.1,21083,16897.6
India,2135.9,1604.5,2514.9,1723.7,1996.2,1520.8,721.3,1067.2,-883.9,-1540.9,-1352.6,-1562.4
Japan,-30622.8,-33676.9,-35517.6,-34084,-22462.4,-23318.1,-21508.1,-9335.5,-2604,-3250.7,-3318.1,-8603.5
Mexico,7587,8559.2,8765.7,7962.6,5833.1,7589.1,6904.7,8440,9886.2,10441.1,14122.2,13939.2
Nigeria,-2369,-3803.4,-1738.2,-4776.3,-1161.6,-3713.8,-11480.8,-21603.4,-16947.7,-16581.4,-7779.5,-1921.7
Norway,-33452.5,-43541.9,-35824.4,-52225.7,-31426.1,-37092.6,-48506.3,-49913,-39479.2,-34938.8,-25376.3,-14990.8
Russia,-57291,-71202.9,-58537.7,-75476.1,-53872.1,-75771,-92741.4,-91661.9,-87524.6,-79159.2,-62642.8,-46553.9
Saudi Arabia,-6931.4,-5967.7,1343.2,-872,7300.2,6928.1,-2021,-4549.5,3503.8,6396.9,18812.2,14919.3
Singapore,-1146.9,292.2,2080,6120.4,5845.3,5755.2,8035,8856.9,11519.7,11539.1,10886.9,12005.1
South Africa,685.5,-282.9,-1619.1,-4023.6,-3391.2,865.5,4472.5,5066.5,8921.5,4804.3,6032.8,45.8
South Korea,-14349.3,-18133.5,-16956.9,-14245.5,-10872.5,-11572.9,-3797.5,-199.2,4074.1,4420.6,5428.5,2468.4
Switzerland,19588,16972.6,16187.3,17973.4,7887.8,24976.8,48597.7,27719.1,74609.9,43725.6,48151.8,20496
Turkey,8390.5,8090.8,5451.1,8187.7,8040,18866.5,24516.2,26668.9,26966.1,20304,17298.1,11124.4
United Arab Emirates,15983.4,19663.2,20807.9,27066.1,21748.1,22252.4,24385.7,28846.4,35359.4,34565.5,39149.9,36583.3
United States,91646.9,96375.6,82198.9,65276.9,48505.6,68451.9,70007,84170.7,89930.5,101978.8,121858.5,113069.8
