partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,8519.8,8968,10980.8,13592.4,10360.8,15352.9,17735.1,17868.7,18738.1,17471.4,15893.7,13462.1
China except Hong Kong,31005.3,37834.9,42643.7,46606,48300.6,69614.4,82336.9,84412.5,85472,95845.7,89399.2,92435.8
Japan,15320.4,15363,15828.2,14675.2,11057.3,13844.7,16349.2,19422.6,19808.2,20208.3,20532.2,21716.2
Norway,14590.2,16492.8,19187.5,18831.4,15932.1,17481.2,20115.7,20501.6,20975.4,21384.5,20641,20018.4
Russia,26745.7,33653.3,43394.4,53399.8,28448.2,38533.8,52322.1,61249.5,56555,47413.1,32107.4,31191.1
South Korea,8778.1,10073,11928.4,12337,10634.6,14238,16264.5,17483.9,19558.2,21561.4,24302,22025.2
Switzerland,26383.8,25356.5,25671.7,28233.2,24775.2,28484.6,31539.4,31413.6,30869.9,31148.5,34590.2,34269.7
Taiwan,6218.9,5698.5,6145,5153.5,4218.7,7247.6,8207.8,7834.3,8326.6,8431.6,9309.7,10277.9
Turkey,21059.2,23581.1,24188.9,23786.7,18693.7,27681.5,32662.8,31584.3,33585.7,31038.1,37458.4,37584.8
United States,109440.1,112734.6,107795.7,100180,77703.7,93669.8,104956.6,121899.4,124401.1,135507.1,166185.3,163275.4
