Data:,Nominal labour productivity per person employed (ESA 2010) 
Unit:,Index (EU28 = 100)
Type:,
Source of Data:,Eurostat
Last update:,21.02.2018
Date of extraction:,22 Feb 2018 12:50:24 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tec00116
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,"
Please be aware that this indicator has been rescaled, i.e. data is expressed in relation to EU28 = 100. Thus, they are not comparable with previous releases based on EU25 = 100 and EU27 = 100.  Gross domestic product (GDP) is a measure for the economic activity. It is defined as the value of all goods and services produced less the value of any goods or services used in their creation. GDP per person employed is intended to give an overall impression of the productivity of national economies expressed in relation to the European Union (EU28) average. If the index of a country is higher than 100, this country's level of GDP per person employed is higher than the EU average and vice versa. Basic figures are expressed in PPS, i.e. a common currency that eliminates the differences in price levels between countries allowing meaningful volume comparisons of GDP between countries. Please note that ""persons employed"" does not distinguish between full-time and part-time employment."
Code:,tec00116
