geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,12269019.1,12997544.4,13071822.2,12315808.7,12827959.8,13200971.1,13463405.2,13577271,14044690.5,14797443.8,14907852.2,:
Euro area (changing composition),8752191.1,9255507.8,9496501.4,9231678.6,9487050.7,9748406.5,9782019.1,9876965.9,10121030.2,10515138.9,10788818.3,:
Euro area (19 countries),8905797.3,9403064.3,9636072.5,9291508.6,9547583.5,9799884.1,9837425.9,9934799.5,10157598.4,10515138.9,10788818.3,:
Belgium,326662.1,344712.5,354065.9,348781.1,365100.5,379106.3,387500.1,392339.8,400288.2,410435.2,423048.4,:
Bulgaria,27210.9,32449.1,37200.1,37317.7,38230.5,41292,41947.2,42011.5,42762.2,45286.5,48128.6,:
Czech Republic,123943.2,138302.9,161313.1,148682,156718.2,164040.5,161434.3,157741.6,156660,168473.3,176564.3,:
Denmark,225531.2,233383.2,241613.5,231278.1,243165.4,247879.9,254578,258742.7,265757,271777.7,277489.1,:
Germany,2393250,2513230,2561740,2460280,2580060,2703120,2758260,2826240,2932470,3043650,3144050,3263350
Estonia,13521.7,16246.4,16517.3,14145.9,14716.5,16667.6,17934.9,18932.3,19766.3,20347.7,21098.3,:
Ireland,184995.4,197201.7,187756.2,170096.9,167583.2,171939.2,175561.1,180298.3,194537.2,262037.4,275567.1,:
Greece,217861.6,232694.6,241990.4,237534.2,226031.4,207028.9,191203.9,180654.3,178656.5,176312,174199.3,:
Spain,1007974,1080807,1116225,1079052,1080935,1070449,1039815,1025693,1037820,1079998,1118522,:
France,1853267,1945670,1995850,1939017,1998481,2059284,2086929,2115256,2147609,2194243,2228857,:
Croatia,40197.8,43925.8,48129.8,45090.7,45128,44807.9,43996.1,43725,43391.3,44521.7,46382.1,:
Italy,1548473.4,1609550.8,1632150.8,1572878.3,1604514.5,1637462.9,1613265,1604599.1,1621827.2,1652152.5,1680522.8,:
Cyprus,16263.8,17591,19006.2,18673.5,19299.5,19731,19489.7,18140.5,17605.9,17742,18122.5,:
Latvia,17264.1,22679.3,24354.8,18749.3,17788.6,20202.3,22058.4,22874,23681.5,24353.1,24926.7,:
Lithuania,24079.2,29040.7,32696.3,26934.8,28027.7,31275.3,33348.5,34959.6,36568.3,37426.6,38668.3,:
Luxembourg,33808.4,37178.9,38128.6,36976.5,40177.8,43164.6,44112.1,46499.6,49993,52101.9,53004.8,:
Hungary,91792,102169.1,108121.5,94262.5,98826,101317,99502.4,101886.6,105573.9,110722.9,113730.8,:
Malta,5386.1,5757.5,6128.7,6138.6,6599.5,6836.2,7160.6,7638.5,8449.1,9266.1,9926.6,:
Netherlands,579212,613280,639163,617540,631512,642929,645164,652748,663008,683457,702641,731297
Austria,267824.5,283978,293761.9,288044,295896.6,310128.7,318653,323910.2,333062.6,344493.2,353296.9,:
Poland,274602.5,313874,366182.3,317082.9,361803.9,380241.7,389376.8,394733.8,411005.2,430054.7,425980.2,:
Portugal,166248.7,175467.7,178872.6,175448.2,179929.8,176166.6,168398,170269.3,173079.1,179809.1,185179.5,:
Romania,98418.6,128617.8,146106,124141,125735.6,132590,133511.4,144253.5,150357.5,160313.7,169771.5,:
Slovenia,31561.2,35152.6,37951.2,36166.2,36252.4,36896.3,36076.1,36239.2,37614.9,38836.6,40418.1,:
Slovakia,45530.2,56241.6,66002.8,64023.1,67577.3,70627.2,72703.5,74169.9,76087.8,78896.4,81154,:
Finland,172614,186584,193711,181029,187100,196869,199793,203338,205474,209604,215773,:
Sweden,334876.5,356434.3,352317.1,309678.7,369076.6,404945.5,423340.7,435752.1,432691.1,449014.8,465186.2,:
United Kingdom,2146649,2245324,1974766.4,1716766.6,1841691.9,1883972.4,2078292.5,2063624.8,2278894,2602139.6,2395801,:
Iceland,13633.5,15584.3,10797.6,9268.5,10050.7,10583,11122.3,11699,13037.8,15258.8,18330.8,:
Liechtenstein,:,:,:,:,:,:,:,4812.4,5026.4,5607.3,:,:
Norway,275289.8,293273.4,317230.3,278557.9,324043.2,358733.7,397086.1,393966.1,376647.6,348408.4,335503.8,351598.9
Switzerland,343498.6,350695.6,378248.1,390207.4,441085.7,504020.9,519716.4,518379.5,534923.7,612168.9,604455.9,:
Montenegro,2169.6,2689.1,3103.3,2993.9,3125.1,3264.8,3181.5,3362.5,3457.9,3654.5,3954.2,:
"Former Yugoslav Republic of Macedonia, the",5472.2,6094.5,6772.1,6766.5,7108.3,7544.2,7584.8,8149.6,8562,9072.3,9722.8,:
Albania,7090.8,7809.8,8800.3,8662.2,8996.6,9268.3,9585.8,9625.4,9968.6,10217.5,10722.1,:
Serbia,24434.6,29451.6,33704.5,30654.7,29766.3,33423.8,31683.1,34262.9,33318.6,33491,34616.6,:
Turkey,436278.4,492841.2,521812.2,461925.9,581023.8,596491.2,678483.7,714313.4,703411.6,772978.8,780224.9,:
Bosnia and Herzegovina,10255.1,11528.5,13047.8,12679.3,12968.9,13411.8,13407.5,13691.8,13988.3,14615.7,15287.1,:
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,3882.8,4069.6,4402,4814.5,5058.8,5326.6,5567.5,5806.9,5984.6,:
