geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,24700,26100,26100,24500,25500,26200,26600,26800,27600,29000,29200,:
Euro area (changing composition),27900,29100,29600,28200,28900,29500,29500,29700,30200,31000,31700,:
Euro area (19 countries),27000,28400,28900,27800,28500,29200,29200,29500,30000,31000,31700,:
Belgium,31000,32400,33100,32300,33500,34500,35000,35300,35800,36500,37500,:
Bulgaria,3500,4200,4900,4900,5100,5600,5700,5800,5900,6300,6800,:
Czech Republic,12100,13400,15500,14200,14900,15600,15400,15000,14900,16000,16700,:
Denmark,41500,42700,44000,41900,43800,44500,45500,46100,47100,47800,48400,:
Germany,29500,31000,31700,30600,32100,33700,34300,35000,36200,37300,38200,39500
Estonia,10000,12100,12300,10600,11000,12500,13500,14300,15000,15500,16000,:
Ireland,43300,44800,41800,37500,36800,37600,38200,39200,42200,56400,58800,:
Greece,19800,21100,21800,21400,20300,18600,17300,16500,16400,16300,16200,:
Spain,22700,23900,24300,23300,23200,22900,22200,22000,22300,23300,24100,:
France,29200,30400,31000,30000,30800,31500,31800,32100,32400,33000,33300,:
Croatia,9300,10200,11200,10500,10500,10500,10300,10300,10200,10600,11100,:
Italy,26500,27400,27600,26400,26800,27300,26700,26500,26700,27200,27700,:
Cyprus,21700,22900,24200,23100,23300,23200,22600,21000,20700,20900,21300,:
Latvia,7800,10300,11200,8800,8500,9800,10800,11400,11900,12300,12700,:
Lithuania,7400,9000,10200,8500,9000,10300,11200,11800,12500,12900,13500,:
Luxembourg,71500,77300,77900,74200,79200,83100,83000,85300,89500,91500,90700,:
Hungary,9100,10200,10800,9400,9900,10200,10000,10300,10700,11300,11600,:
Malta,13300,14200,15000,14900,15900,16400,17100,18000,19800,21500,22700,:
Netherlands,35400,37400,38900,37400,38000,38500,38500,38900,39300,40400,41300,42700
Austria,32400,34200,35300,34500,35400,37000,37800,38200,39000,39900,40400,:
Poland,7200,8200,9600,8300,9400,9900,10100,10300,10700,11200,11100,:
Portugal,15800,16600,16900,16600,17000,16700,16000,16300,16600,17400,17900,:
Romania,4600,6200,7100,6100,6200,6600,6700,7200,7500,8100,8600,:
Slovenia,15700,17400,18800,17700,17700,18000,17500,17600,18200,18800,19600,:
Slovakia,8400,10400,12200,11800,12400,13100,13400,13700,14000,14600,14900,:
Finland,32800,35300,36500,33900,34900,36500,36900,37400,37600,38200,39300,:
Sweden,36900,39000,38200,33300,39400,42900,44500,45400,44600,45800,46900,:
United Kingdom,35300,36600,31900,27600,29300,29800,32600,32200,35300,40000,36500,:
Iceland,44800,50000,33800,29000,31600,33200,34700,36100,39800,46100,54500,:
Liechtenstein,:,:,:,:,:,:,:,128400,133300,147300,:,:
Norway,59100,62300,66500,57700,66300,72400,79100,77600,73300,67100,64100,:
Switzerland,45600,46200,49300,50200,56100,63700,65000,64100,65300,73900,72200,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:
"Former Yugoslav Republic of Macedonia, the",2700,3000,3300,3300,3500,3700,3700,3900,4100,:,:,:
Albania,2400,2600,3000,3000,3100,3200,3300,3300,3500,3500,3700,:
Serbia,3300,4000,4600,4200,4100,4600,4400,4800,4700,4700,4900,:
Turkey,:,:,:,:,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,:,:,:,:,:,:,:,:,:,:
