geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,1431112.7,1517420.4,1470029.6,1334097,1447613.5,1525682.8,1589547.8,1610412.8,1667870.3,1759437.3,1763760.6,:
Euro area (changing composition),997367.4,1052526.7,1035178.9,971708,1021470.8,1071139.7,1106900.9,1123445.1,1156709.7,1198073.7,1219534.7,:
Euro area (19 countries),1014980.5,1069085.3,1048253.6,977905,1027828,1076392.2,1112375,1129212.7,1160371.6,1198073.7,1219534.7,:
Belgium,34348.7,35251.4,34906.8,33408.1,34863.5,35527,37993.2,38181.6,38914.6,39680.8,42644.2,:
Bulgaria,4372.3,4747,5636.8,4646.3,4679.2,4894.1,5295.9,5134.9,4936.1,5519.9,5742.7,:
Czech Republic,10471.3,12159.7,13901.1,12785,13861.6,15009.4,15324.1,15463.9,13851.9,15911.8,16817,:
Denmark,34279.6,35695,34953.5,32059.3,33902.1,34617.1,35486.7,36368.4,37062.4,38218.2,39767.9,:
Germany,217099,243296,248072,240720,246470,266664,275092,278848,287799,301137,308287,320587
Estonia,1610.3,1984.5,1773.3,1827.2,1734.6,1945.9,2150.5,2239.2,2511.4,2691.1,2907.1,:
Ireland,21882.8,22600.7,19063.4,14952.4,14970.1,14596.3,15058.6,16192.9,18303.6,19514.5,20762.8,:
Greece,23911.2,25940.9,27221.1,24294.7,25371.6,23652.1,21584.8,20857.7,23415.6,24129.9,25778.5,:
Spain,109342,108081,91293,74734,93611,90117,94343,100024,104354,113089,114650,:
France,246930,255872,257127,247476,249805,269125,276569,285823,283578,285010,291824,:
Croatia,6497.6,6924.4,7457.9,6591.7,6809.1,6638.2,7008.4,7218.9,7074.6,7448.8,8047.1,:
Italy,203677,210079,199836,184787,197762,204521.9,217855.1,208923.7,214521.1,219179.2,209377.3,:
Cyprus,2458.5,2948,3045.5,2586.4,2673.9,2573.6,2563.5,2312.7,2467.8,2465,2552.8,:
Latvia,1964.6,2416.3,2133,1639.7,1692,2007.9,2156.4,2356,2632.3,2837.2,2949.5,:
Lithuania,2377.6,3006.8,3458.5,2730,2930.5,3244.6,3317.8,3411.6,3661.9,3864.8,4007.2,:
Luxembourg,3903.1,4370.9,4253.9,4129.8,4424.1,4784.9,5056.6,5291.6,5814,5453.1,5697.5,:
Hungary,11645.1,13920.1,14798.4,13410.6,15130.8,14930.1,15745.7,15966.1,16604.5,17942.2,17813.1,:
Malta,681.7,720.2,737.1,770.3,792.7,869.3,865,905.6,999.5,1072.3,1158.1,:
Netherlands,62296,65057,66085,58778,62036,61191,60618,64186,68687,70275,75700,77341
Austria,31998.2,34073.2,35396.8,35518.7,36811.3,39193.2,40839.4,41645.6,42436.2,44529.5,45137.9,:
Poland,34659.5,41198.3,46999.2,35828.9,44719,47447.7,45882.4,44966.1,46802.6,49807.1,49834.1,:
Portugal,22027.5,22734.9,22598.7,19573,20828.3,21318.6,20459,20535.9,21853.4,23850.8,24879.7,:
Romania,10720.4,13717.6,14702.1,11380.2,13657.7,15971.3,15793.5,16477.2,17030,19167.7,17134.7,:
Slovenia,4087.6,4462.6,4573.5,4052.8,4232,4611.8,4668.1,4800.4,5054.7,5250.1,5398.7,:
Slovakia,4432.8,5482.7,5709.9,5704.7,5875.2,6573.1,6378,6688.1,7186.5,7629.5,7845.6,:
Finland,19952,20707,20969,20222,20944,23875,24807,25989,26181,26332,27908,:
Sweden,68133.6,72661.7,73015.4,64730.8,75625.3,81589.7,86101.5,88694.4,86658,90658.3,96727.7,:
United Kingdom,235352.7,247311.3,210311.7,174759.2,211400.7,228192.8,250534.6,250910.2,277478.5,316689.6,292341.5,:
Iceland,2360.1,2524.9,1425.8,1058.3,1193.4,1265.4,1398,1456.2,1842.7,2090.2,2323.1,:
Liechtenstein,:,:,:,:,:,:,:,165.7,183.1,:,:,:
Norway,27978.7,30848.5,29483.2,27161.3,31887.1,34150.7,37070.3,37263,36132.7,34670.3,34967.8,36520
Switzerland,11166.5,12172.1,13291.2,12840.4,15224.4,16768.2,16022.8,15891.2,16207.9,18141.8,17073.9,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:
"Former Yugoslav Republic of Macedonia, the",721.8,851,918,885.3,953.4,1038.1,990,1006.2,1062.2,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,:,:,:,:,:
Turkey,:,:,:,:,:,:,:,:,:,:,:,:
