geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,4570844.8,4926277.4,5082249,4282046.5,4947648.2,5467009.9,5730790.7,5809574.4,6052296.8,6480966,6556202.1,:
Euro area (changing composition),3307144.4,3615390.5,3751643,3216623.4,3689431.4,4076343,4261160.3,4326911.5,4512075.7,4846966.7,4936031.4,:
Euro area (19 countries),3408673.3,3712664.9,3843821.1,3247202.3,3728339.1,4111478.3,4301904.3,4370066.2,4541733.8,4846966.7,4936031.4,:
Belgium,247319.6,267120.6,282176.3,241739.4,279113.7,309485.5,318935.2,320660.5,330736.5,331491.6,350559.4,:
Bulgaria,12876.6,16996.9,19546.2,15797.3,19183.7,24390.8,25504.7,27161.5,27800.7,29031.9,30792,:
Czech Republic,80794,91845.5,101992.4,87253,103480.3,116972.6,122964.7,121257.5,129316.1,136546.4,140441.2,:
Denmark,114412.1,120151.7,130896.1,108992.2,122854.3,133409.3,139077.2,141865.5,145138.2,151313.8,148690,:
Germany,985788,1080938,1113329,930040,1090085,1211489,1268318,1283053,1340265,1426706,1450012,1542628
Estonia,8584.7,10267,11033.2,8601.4,11048.9,14424.1,15422.1,15960.5,16321.3,15994.6,16663.7,:
Ireland,146149.2,159304.6,157940.4,158596.3,172796.6,177303.1,187657.6,191184.7,219786.2,326610.2,335041,:
Greece,46130,52403.5,56532.8,45089.2,49957.9,52865.7,54844.9,54834.8,57836.5,55930.8,53058.9,:
Spain,250703,277851,282589,244658,275847,309575,319223,330453,339502,355752,368515,:
France,503641,527829,546588,466753,520469,572553,595230,605134,620855,651088,652178,:
Croatia,15943.8,17131.3,18519,15566.8,16983.5,18064.7,18265.2,18712.4,19661.2,21471.5,22733.2,:
Italy,406133.1,441454.7,440102,353529.5,404148.5,442218.9,461173.8,463128.8,475301,494625.7,501084.7,:
Cyprus,8690.7,9368.8,9520.3,9099.1,9690.8,10443.2,10416.1,10639.1,10925.6,11510,11834.8,:
Latvia,6901,8720.4,9630.5,7987.8,9544.9,11680.3,13523.9,13766.8,14345.9,14690.4,14965.8,:
Lithuania,13392.9,14624.4,18682.3,13989.7,18313.9,23455.1,27220.1,29387.9,29658,28383.2,28789.1,:
Luxembourg,59586.3,67995.7,71343.1,60667.2,70119.6,76828.6,82244.5,88641.5,104100.5,116032.6,117282.5,:
Hungary,67909.8,79634.7,85728.9,70141.1,80868.8,87887.5,85975.5,87275.4,92540.1,99886,101831,:
Malta,6649.4,7458.1,9099.7,9068.9,10114.1,10965.1,11845,12001.8,12583.2,13300.6,13986.7,:
Netherlands,401272,430974,457913,390004,454398,497347,528623,535320,547415,570178,579317,630115
Austria,136166.4,149261.3,156424.9,130217.3,151683,167310.3,171988.8,173101.8,177853.6,182345.4,184639.5,:
Poland,103975.5,121044.2,138625.6,117905.5,144921,161842.9,173053,182840,195585.9,212966.9,222616.7,:
Portugal,49736.7,54405.1,55674.6,47512.6,53750.9,60409.9,63503.8,67283.9,69360.3,72647.6,73958.4,:
Romania,31553.2,36549.8,38354.7,32958.9,40942,49118.2,50018.8,57338.2,61934.8,65751,70174.6,:
Slovenia,20418.6,23762.1,25089.1,20702.5,23306,25965.4,26380.5,27004.4,28517.1,29901.2,31386.3,:
Slovakia,36891.6,46835.7,52832.1,43285.5,51585.3,60066.3,66472.9,69585.8,69888.9,73348.1,76791.6,:
Finland,74519,82091,87321,65661,72366,77093,78881,78924,76482,76493,76834,:
Sweden,161377,172008.3,175500,137659.3,170458.7,189040.3,196104.7,190862.4,194854.4,204531.8,205953,:
United Kingdom,573329.6,558250.3,529264.8,448570,519616.7,574805.3,617922.7,612195.3,643731.7,712500,676939,:
Iceland,4243.1,5193.3,4448.4,4585.5,5371.2,5962.9,6304.2,6453.4,6898.6,8125.4,8883,:
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Norway,122957.7,126936.8,145565.9,109172,128726.8,147900.9,161115,154193.4,146074.8,131411.2,114529.7,123106.6
Switzerland,194046.4,214989.1,237014.7,223317.5,282143.4,329959.8,348384.6,372844.1,343815.3,380391.3,397800.4,:
Montenegro,880,1156.4,1226.4,1027.8,1157.7,1382.6,1389.4,1390.1,1388.1,1539.2,1599.9,:
"Former Yugoslav Republic of Macedonia, the",2068,2688.7,2927.2,2219.8,2828.4,3555.1,3441.6,3536.6,4080.9,4421.7,4858.7,:
Albania,1787.6,2206.1,2226.7,2186.4,2517.2,2710.2,2773.9,2766.1,2812.4,2798.8,:,:
Serbia,7395.4,8353.6,9813.7,8229.7,9802.8,11356.1,11700,14116.5,14452.2,15631.5,17316.4,:
Turkey,94456.1,104582,119110.2,104273.6,118812.4,132793.3,160579.2,159093.7,167161.1,180459.1,171377,:
Bosnia and Herzegovina,:,3124.4,3503.1,3171,3851.2,4296.6,4336.7,4619.9,4754.6,5053.8,5413.5,:
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,609,695,878,944,923,928,1092,1118,1346.3,:
