Data:,"Goods and services, imports and exports"
Unit:,At current prices in million EUR
Type:,Exports of goods and services
Source of Data:,Eurostat
Last update:,16.02.2018
Date of extraction:,22 Feb 2018 12:48:02 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tec00110
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,"Exports of goods and services consist of transactions in goods and services (sales, barter, and gifts) from residents to non-residents. Imports of goods and services consist of transactions in goods and services (purchases, barter, and gifts) from non-residents to residents. Imports and exports of goods occur when economic ownership of goods changes between residents and non-residents. This applies irrespective of corresponding physical movements of goods across frontiers. "
Code:,tec00110
