geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,3.3,3,0.4,-4.3,2.1,1.7,-0.4,0.3,1.8,2.3,2,:
Euro area (changing composition),3.2,3,0.4,-4.4,2.1,1.6,-0.9,-0.3,1.3,2.1,1.8,:
Euro area (19 countries),3.2,3,0.4,-4.5,2.1,1.6,-0.9,-0.2,1.3,2.1,1.8,:
Belgium,2.5,3.4,0.8,-2.3,2.7,1.8,0.2,0.2,1.4,1.4,1.5,:
Bulgaria,6.9,7.3,6,-3.6,1.3,1.9,0,0.9,1.3,3.6,3.9,:
Czech Republic,6.9,5.6,2.7,-4.8,2.3,1.8,-0.8,-0.5,2.7,5.3,2.6,:
Denmark,3.9,0.9,-0.5,-4.9,1.9,1.3,0.2,0.9,1.6,1.6,2,:
Germany,3.7,3.3,1.1,-5.6,4.1,3.7,0.5,0.5,1.9,1.7,1.9,2.2
Estonia,10.3,7.7,-5.4,-14.7,2.3,7.6,4.3,1.9,2.9,1.7,2.1,:
Ireland,5.5,5.2,-3.9,-4.6,1.8,3,0,1.6,8.3,25.6,5.1,:
Greece,5.7,3.3,-0.3,-4.3,-5.5,-9.1,-7.3,-3.2,0.7,-0.3,-0.2,:
Spain,4.2,3.8,1.1,-3.6,0,-1,-2.9,-1.7,1.4,3.4,3.3,:
France,2.4,2.4,0.2,-2.9,2,2.1,0.2,0.6,0.9,1.1,1.2,:
Croatia,4.8,5.2,2.1,-7.4,-1.4,-0.3,-2.2,-0.6,-0.1,2.3,3.2,:
Italy,2,1.5,-1.1,-5.5,1.7,0.6,-2.8,-1.7,0.1,1,0.9,:
Cyprus,4.5,4.8,3.9,-1.8,1.3,0.3,-3.1,-5.9,-1.4,2,3,:
Latvia,11.9,10,-3.5,-14.4,-3.9,6.4,4,2.6,1.9,2.8,2.1,:
Lithuania,7.4,11.1,2.6,-14.8,1.6,6,3.8,3.5,3.5,2,2.3,:
Luxembourg,5.2,8.4,-1.3,-4.4,4.9,2.5,-0.4,3.7,5.8,2.9,3.1,:
Hungary,3.9,0.4,0.9,-6.6,0.7,1.7,-1.6,2.1,4.2,3.4,2.2,:
Malta,1.8,4,3.3,-2.5,3.5,1.4,2.6,4.6,8.2,7.2,5.5,:
Netherlands,3.5,3.7,1.7,-3.8,1.4,1.7,-1.1,-0.2,1.4,2.3,2.2,3.1
Austria,3.5,3.7,1.5,-3.8,1.8,2.9,0.7,0,0.8,1.1,1.5,:
Poland,6.2,7,4.2,2.8,3.6,5,1.6,1.4,3.3,3.8,2.9,:
Portugal,1.6,2.5,0.2,-3,1.9,-1.8,-4,-1.1,0.9,1.8,1.5,:
Romania,8.1,6.9,8.3,-5.9,-2.8,2,1.2,3.5,3.1,4,4.8,:
Slovenia,5.7,6.9,3.3,-7.8,1.2,0.6,-2.7,-1.1,3,2.3,3.1,:
Slovakia,8.5,10.8,5.6,-5.4,5,2.8,1.7,1.5,2.8,3.9,3.3,:
Finland,4.1,5.2,0.7,-8.3,3,2.6,-1.4,-0.8,-0.6,0.1,2.1,:
Sweden,4.7,3.4,-0.6,-5.2,6,2.7,-0.3,1.2,2.6,4.5,3.2,:
United Kingdom,2.5,2.4,-0.5,-4.2,1.7,1.5,1.5,2.1,3.1,2.3,1.9,1.8
Iceland,5,9.4,1.7,-6.5,-3.6,2,1.3,4.3,2.1,4.3,7.4,:
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Norway,2.4,3,0.5,-1.7,0.7,1,2.7,1,2,2,1.1,1.8
Switzerland,4,4.1,2.2,-2.2,3,1.7,1,1.9,2.4,1.2,1.4,:
Montenegro,:,:,7.2,-5.8,2.7,3.2,-2.7,3.5,1.8,3.4,2.9,:
"Former Yugoslav Republic of Macedonia, the",5.1,6.5,5.5,-0.4,3.4,2.3,-0.5,2.9,3.6,3.9,2.9,:
Albania,5.9,6,7.5,3.4,3.7,2.5,1.4,1,1.8,2.2,3.4,:
Serbia,4.9,5.9,5.4,-3.1,0.6,1.4,-1,2.6,-1.8,0.8,2.8,:
Turkey,7.1,5,0.8,-4.7,8.5,11.1,4.8,8.5,5.2,6.1,3.2,:
Bosnia and Herzegovina,5.4,5.8,5.4,-3.1,1,1,-0.8,2.2,1.3,3.1,3.3,:
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,:,3.6,3.3,4.4,2.8,3.4,1.2,4.1,3.4,:
