geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,37.3,37.9,38.9,34.8,38.6,41.4,42.6,42.8,43.1,43.8,44,:
Euro area (changing composition),37.8,39.1,39.5,34.8,38.9,41.8,43.6,43.8,44.6,46.1,45.8,:
Euro area (19 countries),38.3,39.5,39.9,34.9,39.1,42,43.7,44,44.7,46.1,45.8,:
Belgium,75.7,77.5,79.7,69.3,76.4,81.6,82.3,81.7,82.6,80.8,82.9,:
Bulgaria,47.3,52.4,52.5,42.3,50.2,59.1,60.8,64.7,65,64.1,64,:
Czech Republic,65.2,66.4,63.2,58.7,66,71.3,76.2,76.9,82.5,81,79.5,:
Denmark,50.7,51.5,54.2,47.1,50.5,53.8,54.6,54.8,54.6,55.7,53.6,:
Germany,41.2,43,43.5,37.8,42.3,44.8,46,45.4,45.7,46.9,46.1,47.3
Estonia,63.5,63.2,66.8,60.8,75.1,86.5,86,84.3,82.6,78.6,79,:
Ireland,79,80.8,84.1,93.2,103.1,103.1,106.9,106,113,124.6,121.6,:
Greece,21.2,22.5,23.4,19,22.1,25.5,28.7,30.4,32.4,31.7,30.5,:
Spain,24.9,25.7,25.3,22.7,25.5,28.9,30.7,32.2,32.7,32.9,32.9,:
France,27.2,27.1,27.4,24.1,26,27.8,28.5,28.6,28.9,29.7,29.3,:
Croatia,39.7,39,38.5,34.5,37.6,40.3,41.5,42.8,45.3,48.2,49,:
Italy,26.2,27.4,27,22.5,25.2,27,28.6,28.9,29.3,29.9,29.8,:
Cyprus,53.4,53.3,50.1,48.7,50.2,52.9,53.4,58.6,62.1,64.9,65.3,:
Latvia,40,38.5,39.5,42.6,53.7,57.8,61.3,60.2,60.6,60.3,60,:
Lithuania,55.6,50.4,57.1,51.9,65.3,75,81.6,84.1,81.1,75.8,74.5,:
Luxembourg,176.2,182.9,187.1,164.1,174.5,178,186.4,190.6,208.2,222.7,221.3,:
Hungary,74,77.9,79.3,74.4,81.8,86.7,86.4,85.7,87.7,90.2,89.5,:
Malta,123.5,129.5,148.5,147.7,153.3,160.4,165.4,157.1,148.9,143.5,140.9,:
Netherlands,69.3,70.3,71.6,63.2,72,77.4,81.9,82,82.6,83.4,82.4,86.2
Austria,50.8,52.6,53.2,45.2,51.3,53.9,54,53.4,53.4,52.9,52.3,:
Poland,37.9,38.6,37.9,37.2,40.1,42.6,44.4,46.3,47.6,49.5,52.3,:
Portugal,29.9,31,31.1,27.1,29.9,34.3,37.7,39.5,40.1,40.4,39.9,:
Romania,32.1,28.4,26.3,26.5,32.6,37,37.5,39.7,41.2,41,41.3,:
Slovenia,64.7,67.6,66.1,57.2,64.3,70.4,73.1,74.5,75.8,77,77.7,:
Slovakia,81,83.3,80,67.6,76.3,85,91.4,93.8,91.9,93,94.6,:
Finland,43.2,44,45.1,36.3,38.7,39.2,39.5,38.8,37.2,36.5,35.6,:
Sweden,48.2,48.3,49.8,44.5,46.2,46.7,46.3,43.8,45,45.6,44.3,:
United Kingdom,26.7,24.9,26.8,26.1,28.2,30.5,29.7,29.7,28.2,27.4,28.3,:
Iceland,31.1,33.3,41.2,49.5,53.4,56.3,56.7,55.2,52.9,53.3,48.5,:
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Norway,44.7,43.3,45.9,39.2,39.7,41.2,40.6,39.1,38.8,37.7,34.1,35
Switzerland,56.5,61.3,62.7,57.2,64,65.5,67,71.9,64.3,62.1,65.8,:
Montenegro,40.6,43,39.5,34.3,37,42.3,43.7,41.3,40.1,42.1,40.5,:
"Former Yugoslav Republic of Macedonia, the",37.8,44.1,43.2,32.8,39.8,47.1,45.4,43.4,47.7,48.7,50,:
Albania,25.2,28.2,25.3,25.2,28,29.2,28.9,28.7,28.2,27.4,:,:
Serbia,30.3,28.4,29.1,26.8,32.9,34,36.9,41.2,43.4,46.7,50,:
Turkey,21.7,21.2,22.8,22.6,20.4,22.3,23.7,22.3,23.8,23.3,22,:
Bosnia and Herzegovina,:,27.1,26.8,25,29.7,32,32.3,33.7,34,34.6,35.4,:
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,15.7,17.1,19.9,19.6,18.2,17.4,19.6,19.3,22.5,:
