geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,36.8,37.3,38.7,33.8,37.7,40.3,40.6,40.2,40.4,40.3,40.5,:
Euro area (changing composition),36.6,37.5,38.4,33.4,37.5,40.4,40.9,40.4,40.9,41.5,41.3,:
Euro area (19 countries),37.2,38,38.9,33.5,37.7,40.5,41.1,40.6,41.1,41.5,41.3,:
Belgium,72,73.7,79.2,67,74.7,81.1,81.7,80.5,82,79.4,81.5,:
Bulgaria,64.5,71.2,72.3,50.6,53,58.7,64,65.1,66,64,59.7,:
Czech Republic,62.4,64,61.1,54.8,62.9,67.5,71.4,71.1,76.2,75.1,72.1,:
Denmark,46.6,48.6,50.7,42.6,43.6,47.4,48.6,48.2,47.7,48.4,47.4,:
Germany,35.9,36.4,37.5,32.9,37.1,39.9,39.9,39.4,38.8,38.9,38.1,39.7
Estonia,73.6,72.1,70.7,55.8,68.7,80.8,84.4,81.5,79.7,74.6,75.1,:
Ireland,71,72.5,75.5,79.8,86.5,84.4,89.7,87.3,95.2,91.5,99.6,:
Greece,31.7,35,36,28.8,30.7,32.3,33.1,33.2,34.8,31.7,31.2,:
Spain,30.8,31.7,30.4,23.8,26.8,29.2,29.2,29,30.3,30.7,29.9,:
France,28,28.4,29.1,25.5,27.9,30.4,30.7,30.5,30.9,31.2,31.2,:
Croatia,46.4,46.3,46.5,38.2,38.1,40.8,41,42.3,43.4,45.9,46.2,:
Italy,27.1,27.8,27.8,23.1,27.2,28.6,27.6,26.6,26.5,27,26.4,:
Cyprus,56.4,58,62.9,54.1,57.5,55.9,54.9,56.8,60,64.1,66.1,:
Latvia,60.6,57.5,52.5,44.2,55.1,62.8,65.8,63.7,62,60.8,59.1,:
Lithuania,65.9,63.5,68.7,53.6,67.2,77.5,80.8,82.8,79,76.3,73.2,:
Luxembourg,144.4,149.6,156.4,131.9,141.6,145.5,155.4,158.6,174.1,187.5,186.2,:
Hungary,75.1,77.3,78.9,70.4,76.5,80.6,79.7,78.7,81.3,81.4,79.5,:
Malta,126.8,129,148.7,149.2,154.2,158.1,160.8,150.8,137,136.2,129.7,:
Netherlands,60.5,61.4,63,55.8,63.6,68.8,72.3,71.3,71.7,72.9,71.4,74.6
Austria,47.2,48.2,48.8,41.9,47.8,51.2,51.2,50.6,50.1,49.2,48.9,:
Poland,39.9,42.1,42.9,38,42.1,44.5,44.9,44.4,46.1,46.4,48.2,:
Portugal,38.2,38.6,40.8,34,37.4,38.6,38.2,38.5,39.9,39.8,39,:
Romania,44,42.4,39.2,32.8,38.8,42.6,42.4,40.5,41.6,41.6,42.2,:
Slovenia,64.7,68.9,68,55.4,62.9,68.5,68.9,69,68.4,68.4,68.5,:
Slovakia,85,84.4,82.9,69.1,77.8,86,87.8,89.6,88.4,91.4,91.1,:
Finland,39,39.2,41.4,34.3,37.4,40,40.9,39.7,38.2,37,36.8,:
Sweden,40.6,41.3,43.5,38.7,40.7,42,41.4,39.3,40.7,40.7,39.4,:
United Kingdom,29.1,27.3,29.7,28.3,30.8,32,31.7,31.7,30.3,29.1,30.3,:
Iceland,48.3,42.5,43.4,40.5,43.3,48.4,50.7,47.2,46.7,45.9,42.1,:
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Norway,27.7,29.9,29,27.8,28.5,28.4,27.5,28.4,29.8,32.1,33.3,33
Switzerland,48,50,52.1,49.7,53.3,57,56.6,59.9,52.6,50.6,54.6,:
Montenegro,77.4,85.7,92.8,65.1,62.7,64.3,68.1,61.4,60,60.6,62.9,:
"Former Yugoslav Republic of Macedonia, the",54.8,62,68.3,54.4,58.1,66.1,66.8,61.5,64.9,65,64.7,:
Albania,49.1,55,52.1,49.9,48.6,52,47.6,47,47.2,44.7,:,:
Serbia,50.6,52.7,54.1,42.7,47.9,49.4,53.6,51.9,54.2,56.4,57.5,:
Turkey,26.5,26.1,27.1,23.4,25.5,30.4,28.6,28.1,27.6,26,24.9,:
Bosnia and Herzegovina,:,56.5,59.3,48.7,51.3,55.8,55.8,54.1,56.6,53.2,52.3,:
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,54.3,52,55.5,56.8,52.4,49,50.6,49.5,51.3,:
