geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,1.01,1.02,1.01,1.03,1.02,1.03,1.05,1.06,1.07,1.09,1.09,:
Euro area (changing composition),1.03,1.04,1.03,1.04,1.04,1.03,1.07,1.08,1.09,1.11,1.11,:
Euro area (19 countries),1.03,1.04,1.03,1.04,1.04,1.04,1.06,1.08,1.09,1.11,1.11,:
Belgium,1.05,1.05,1.01,1.03,1.02,1.01,1.01,1.01,1.01,1.02,1.02,:
Bulgaria,0.73,0.74,0.73,0.84,0.95,1.01,0.95,0.99,0.98,1,1.07,:
Czech Republic,1.04,1.04,1.03,1.07,1.05,1.06,1.07,1.08,1.08,1.08,1.1,:
Denmark,1.09,1.06,1.07,1.11,1.16,1.14,1.12,1.14,1.14,1.15,1.13,:
Germany,1.15,1.18,1.16,1.15,1.14,1.12,1.15,1.15,1.18,1.21,1.21,1.19
Estonia,0.86,0.88,0.94,1.09,1.09,1.07,1.02,1.03,1.04,1.05,1.05,:
Ireland,1.11,1.11,1.11,1.17,1.19,1.22,1.19,1.21,1.19,1.36,1.22,:
Greece,0.67,0.64,0.65,0.66,0.72,0.79,0.87,0.92,0.93,1,0.98,:
Spain,0.81,0.81,0.83,0.95,0.95,0.99,1.05,1.11,1.08,1.07,1.1,:
France,0.97,0.95,0.94,0.95,0.93,0.91,0.93,0.94,0.94,0.95,0.94,:
Croatia,0.86,0.84,0.83,0.9,0.99,0.99,1.01,1.01,1.04,1.05,1.06,:
Italy,0.97,0.99,0.97,0.97,0.93,0.94,1.04,1.09,1.11,1.11,1.13,:
Cyprus,0.95,0.92,0.8,0.9,0.87,0.95,0.97,1.03,1.04,1.01,0.99,:
Latvia,0.66,0.67,0.75,0.96,0.97,0.92,0.93,0.95,0.98,0.99,1.02,:
Lithuania,0.84,0.79,0.83,0.97,0.97,0.97,1.01,1.02,1.03,0.99,1.02,:
Luxembourg,1.22,1.22,1.2,1.24,1.23,1.22,1.2,1.2,1.2,1.19,1.19,:
Hungary,0.99,1.01,1.01,1.06,1.07,1.08,1.08,1.09,1.08,1.11,1.13,:
Malta,0.97,1,1,0.99,0.99,1.01,1.03,1.04,1.09,1.05,1.09,:
Netherlands,1.15,1.14,1.14,1.13,1.13,1.13,1.13,1.15,1.15,1.14,1.15,:
Austria,1.08,1.09,1.09,1.08,1.07,1.05,1.05,1.06,1.07,1.08,1.07,:
Poland,0.95,0.92,0.88,0.98,0.95,0.96,0.99,1.04,1.03,1.07,1.09,:
Portugal,0.78,0.8,0.76,0.8,0.8,0.89,0.99,1.03,1.01,1.02,1.02,:
Romania,0.73,0.67,0.67,0.81,0.84,0.87,0.88,0.98,0.99,0.99,0.98,:
Slovenia,1,0.98,0.97,1.03,1.02,1.03,1.06,1.08,1.11,1.13,1.13,:
Slovakia,0.95,0.99,0.97,0.98,0.98,0.99,1.04,1.05,1.04,1.02,1.04,:
Finland,1.11,1.12,1.09,1.06,1.03,0.98,0.97,0.98,0.97,0.99,0.96,:
Sweden,1.19,1.17,1.14,1.15,1.14,1.11,1.12,1.11,1.11,1.12,1.12,:
United Kingdom,0.92,0.91,0.9,0.92,0.92,0.95,0.94,0.94,0.93,0.94,0.93,:
Iceland,0.64,0.78,0.95,1.22,1.23,1.16,1.12,1.17,1.13,1.16,1.15,:
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Norway,1.61,1.45,1.58,1.41,1.39,1.45,1.48,1.38,1.3,1.17,1.02,:
Switzerland,1.18,1.23,1.2,1.15,1.2,1.15,1.18,1.2,1.22,1.23,1.21,:
Montenegro,:,:,:,:,0.59,0.66,0.64,0.67,0.67,0.7,:,:
"Former Yugoslav Republic of Macedonia, the",0.69,0.71,0.63,0.6,0.69,0.71,0.68,0.71,0.73,0.75,0.77,:
Albania,0.51,0.51,0.49,0.51,0.58,0.56,0.61,0.61,0.6,0.61,:,:
Serbia,0.6,0.54,0.54,0.63,0.69,0.69,0.69,0.79,0.8,0.83,0.87,:
Turkey,0.82,0.81,0.84,0.97,0.8,0.73,0.83,0.79,0.86,0.9,0.88,:
Bosnia and Herzegovina,:,0.48,0.45,0.51,0.58,0.57,0.58,0.62,0.6,0.65,0.68,:
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,0.29,0.33,0.36,0.35,0.35,0.36,0.39,0.39,0.44,:
