geo\time,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,3.6,2,1.2,1,2.1,1.7,2.9,2.6,0.1,-4.6,1.8,1.5,-0.7,0.1,1.5,2,1.6,:
Euro area (19 countries),3.5,1.8,0.5,0.1,1.8,1.1,2.8,2.5,-0.1,-4.8,1.8,1.4,-1.1,-0.5,1.1,1.8,1.5,:
Belgium,3.4,0.5,1.3,0.4,3.2,1.5,1.8,2.7,0,-3,1.8,0.9,-0.4,-0.3,0.9,0.9,1,:
Bulgaria,5.5,7.1,6.5,5.8,7,7.7,7.4,7.9,6.5,-3.1,2,4.5,0.6,1.4,1.9,4.3,4.7,:
Czech Republic,4.4,3.4,1.9,3.6,4.9,6.3,6.5,5,1.6,-5.4,2,2,-0.9,-0.5,2.6,5.1,2.4,:
Denmark,3.4,0.5,0.1,0.1,2.4,2,3.6,0.5,-1.1,-5.4,1.4,0.9,-0.1,0.5,1.1,0.9,1.1,:
Germany,2.9,1.6,-0.1,-0.7,1.3,0.9,3.9,3.5,1.4,-5.3,4.3,3.7,0.3,0.2,1.5,0.9,1.1,1.8
Estonia,8.8,7,6.8,8.1,7,10,10.9,8.4,-5.1,-14.6,2.4,7.9,4.7,2.3,3.2,1.9,1.9,:
Ireland,8.1,4.2,4.5,1.4,4.8,3.6,2.8,2.1,-6,-5.5,1.3,2.6,-0.2,1.4,8,24.8,4.2,:
Greece,3.5,3.6,3.5,5.5,4.8,0.3,5.3,3,-0.6,-4.6,-5.6,-9,-6.8,-2.5,1.4,0.4,0.1,:
Spain,4.8,3.5,1.2,1.3,1.6,1.8,2.5,1.8,-0.5,-4.4,-0.4,-1.4,-3,-1.3,1.7,3.5,3.2,:
France,3.2,1.2,0.4,0.1,2,0.8,1.7,1.7,-0.4,-3.4,1.5,1.6,-0.3,0.1,0.4,0.6,0.8,:
Croatia,3.7,6.5,5.1,5.6,4,4.1,4.8,5.1,2.1,-7.3,-1.2,-0.1,-1.8,-0.4,0.3,3.3,3.9,:
Italy,3.7,1.7,0,-0.4,0.8,0.3,1.6,0.9,-1.8,-6,1.3,0.2,-3.3,-2.2,-0.1,1.1,1.1,:
Cyprus,4.6,2.5,2.2,1.2,3.2,2.2,2.8,2.6,1.3,-4.4,-1.3,-2.2,-4.5,-5.7,-0.3,2.6,2.6,:
Latvia,6.4,7.8,8.4,9.5,9.5,11.9,12.9,10.9,-2.5,-13,-1.9,8.4,5.3,3.6,2.9,3.7,3,:
Lithuania,4.6,7.4,7.6,11.4,7.8,9.5,9.1,12.4,3.7,-13.9,3.8,8.5,5.2,4.6,4.4,3,3.7,:
Luxembourg,6.8,1.4,2.7,0.4,2.2,1.6,3.6,6.6,-3,-6.1,2.9,0.2,-2.6,1,3.3,0.9,0.5,:
Hungary,4.5,4.1,4.8,4.1,5.2,4.6,4,0.6,1,-6.5,0.9,2,-1.1,2.4,4.5,3.7,2.5,:
Malta,:,-0.2,2.2,1.9,-0.2,3.1,1.5,3.6,2.7,-3.2,3,1,1.8,3.6,7.1,6.1,4.2,:
Netherlands,3.5,1.4,-0.5,-0.2,1.7,1.9,3.4,3.5,1.3,-4.3,0.9,1.2,-1.4,-0.5,1,1.8,1.6,2.5
Austria,3.1,0.9,1.2,0.5,2.1,1.5,2.9,3.4,1.1,-4,1.6,2.6,0.2,-0.6,0,0.1,0.2,:
Poland,4.6,1.3,2.1,3.7,5.2,3.5,6.3,7.1,4.2,2.7,2.6,5,1.6,1.5,3.3,3.9,2.9,:
Portugal,3.1,1.2,0.2,-1.3,1.6,0.6,1.4,2.3,0.1,-3.1,1.9,-1.7,-3.6,-0.6,1.4,2.2,1.9,:
Romania,:,:,:,6,9,4.8,8.7,8.5,10.1,-5.1,-2.2,2.5,1.7,3.9,3.5,4.5,5.4,:
Slovenia,3.9,2.8,3.7,2.8,4.3,3.8,5.3,6.4,3.1,-8.7,0.9,0.5,-2.9,-1.3,2.9,2.2,3.1,:
Slovakia,1.1,3.7,4.5,5.4,5.2,6.7,8.4,10.7,5.4,-5.6,4.8,3.4,1.5,1.4,2.6,3.8,3.2,:
Finland,5.4,2.3,1.4,1.8,3.6,2.4,3.7,4.7,0.3,-8.7,2.5,2.1,-1.9,-1.2,-1.1,-0.2,1.9,:
Sweden,4.6,1.3,1.7,2,3.9,2.4,4.1,2.6,-1.3,-6,5.1,1.9,-1,0.4,1.6,3.4,1.9,:
United Kingdom,3.3,2.2,2,2.9,1.8,2.3,1.8,1.5,-1.3,-4.9,0.9,0.6,0.8,1.4,2.3,1.5,1.1,:
Iceland,3.1,2.5,-0.3,1.8,6.8,5.2,2.1,6.9,-0.9,-6.5,-3.2,1.6,0.8,3.3,1,3.2,5.7,:
Norway,2.5,1.6,0.9,0.3,3.3,1.9,1.6,1.9,-0.8,-2.9,-0.5,-0.3,1.4,-0.2,0.8,0.9,0.2,:
Switzerland,3.4,0.9,-0.6,-0.7,2.1,2.5,3.4,3.2,0.9,-3.4,1.9,1,-0.1,0.7,1.2,0.1,0.3,:
"Former Yugoslav Republic of Macedonia, the",:,-3.5,2.2,1.9,4.4,4.5,5,6.3,5.3,-0.5,3.1,2.2,-0.6,2.8,3.5,:,:,:
Albania,7.7,8.9,4.9,5.9,6,6.1,6.6,6.8,8.3,4.1,4.2,2.8,1.6,1.2,2,2.5,3.5,:
Serbia,8.1,5.2,7.2,4.7,9.3,5.9,5.3,6.3,5.8,-2.7,1,2.2,-0.5,3.1,-1.4,1.3,3.3,:
